Date,TimeID,Block ID,PairID,LastFire,Btreatment,Streatment,StartTime,EndTime,TestDur,ZRemNo,RemNo,Rem,Latency,RemTime,Hour,Weather conditions,Notes
11/20/2021,Time1,1,1,F,BURN,FRUIT,9:10,,12:24,9,9,1,3.433,11:15,11,Clear,NA
11/20/2021,Time1,1,1,F,BURN,CONTROL,9:05,,24.517,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,1,2,F,SCRUB,FRUIT,NA,,NA,3,3,1,2.417,11:02,11,Clear,
11/20/2021,Time1,1,2,F,SCRUB,CONTROL,9:20,,24.833,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,2,3,F,BURN,FRUIT,12:09,,17.883,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,2,3,F,BURN,CONTROL,6:38,,8:24,12,12,1,2.783,9:25,9,Clear,
11/20/2021,Time1,2,4,F,SCRUB,FRUIT,6:45,,8:24,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,2,4,F,SCRUB,CONTROL,8:01,,22.133,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,4,5,F,BURN,FRUIT,13:02,,23.503,3,3,1,21.798,10:50,10,Clear,
11/20/2021,Time1,4,5,F,BURN,CONTROL,13:04,,23.553,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,4,6,F,SCRUB,FRUIT,14:10,,23.62,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,4,6,F,SCRUB,CONTROL,13:31,,23.17,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,5,7,F,BURN,FRUIT,5:59,,24,15,15,1,6,11:59,11,Clear,
11/20/2021,Time1,5,7,F,BURN,CONTROL,6:02,,23.5,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,5,8,F,SCRUB,FRUIT,6:09,,23.433,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,5,8,F,SCRUB,CONTROL,6:04,,23.5,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,6,9,F,BURN,FRUIT,10:10,,25.533,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,6,9,F,BURN,CONTROL,10:06,,23.767,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,6,10,F,SCRUB,FRUIT,10:00,,20:48,3,3,1,1.8,11:48,11,Clear,
11/20/2021,Time1,6,10,F,SCRUB,CONTROL,10:05,,20:48,1,1,1,1.583,11:39,11,Clear,
11/20/2021,Time1,7,11,F,BURN,FRUIT,11:37,,25.95,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,7,11,F,BURN,CONTROL,10:54,,26.083,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,7,12,F,SCRUB,FRUIT,11:45,,26.333,3,3,1,3.933,15:41,15,Clear,
11/20/2021,Time1,7,12,F,SCRUB,CONTROL,11:42,,24.283,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,8,13,F,BURN,FRUIT,9:01,,26.183,6,6,0,NA,NA,NA,Clear,animal defecated at site during trial
11/20/2021,Time1,8,13,F,BURN,CONTROL,7:57,,24.35,0,NA,0,NA,NA,NA,Clear,
11/20/2021,Time1,8,14,F,SCRUB,FRUIT,8:05,,24.583,5,5,1,16.45,0:32,0,Clear,
11/20/2021,Time1,8,14,F,SCRUB,CONTROL,8:07,,24.767,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,1,15,F,BURN,FRUIT,10:02,,21.483,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,1,15,F,BURN,CONTROL,9:43,,21.817,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,1,16,F,SCRUB,FRUIT,10:37,,20.7,6,6,1,1.9,12:31,12,Clear,
11/21/2021,Time1,1,16,F,SCRUB,CONTROL,11:19,,20.367,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,6,17,F,BURN,FRUIT,11:51,,22.6,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,6,17,F,BURN,CONTROL,9:53,,25.583,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,6,18,F,SCRUB,FRUIT,11:26,,24.55,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,6,18,F,SCRUB,CONTROL,11:19,,24.667,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,7,19,F,BURN,FRUIT,NA,,NA,3,3,1,15.017,2:38,2,Clear,
11/21/2021,Time1,7,19,F,BURN,CONTROL,1:52,,23.383,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,7,20,F,SCRUB,FRUIT,2:18,,23.117,1,1,1,2.967,17:16,17,Clear,
11/21/2021,Time1,7,20,F,SCRUB,CONTROL,NA,,NA,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,8,21,F,BURN,FRUIT,9:38,,22.4,3,3,1,1.517,11:09,11,Clear,
11/21/2021,Time1,8,21,F,BURN,CONTROL,8:29,,22.5,9,9,1,1.367,9:51,9,Clear,
11/21/2021,Time1,8,22,F,SCRUB,FRUIT,9:03,,22.05,0,NA,0,NA,NA,NA,Clear,
11/21/2021,Time1,8,22,F,SCRUB,CONTROL,9:14,,21.95,0,NA,0,NA,NA,NA,Clear,
1/14/2022,Time2,1,23,W,BURN,CONTROL,7:40,,25.8,0,NA,0,NA,NA,NA,Clear,
1/14/2022,Time2,1,23,W,BURN,FRUIT,7:35,,25.75,1,1,1,4.617,12:12,12,Clear,
1/14/2022,Time2,1,24,W,SCRUB,CONTROL,7:45,,25.983,3,3,1,4.317,12:05,12,Clear,
1/14/2022,Time2,1,24,W,SCRUB,FRUIT,7:43,,26.283,0,NA,0,NA,NA,NA,Clear,
1/14/2022,Time2,4,25,W,BURN,CONTROL,7:07,,24.883,0,NA,0,NA,NA,NA,Clear,23:44 - Opilionid
1/14/2022,Time2,4,25,W,BURN,FRUIT,7:13,,25.05,7,7,1,4.8 ,12:01,12,Clear,
1/14/2022,Time2,4,26,W,SCRUB,CONTROL,7:18,,25.183,0,NA,0,NA,NA,NA,Clear,
1/14/2022,Time2,4,26,W,SCRUB,FRUIT,7:30,,25.333,0,NA,0,NA,NA,NA,Clear,camera positioned really badly
1/14/2022,Time2,8,27,W,BURN,CONTROL,6:34,,24.917,2,2,1,16.85,23:25,23,Clear,
1/14/2022,Time2,8,27,W,BURN,FRUIT,6:29,,24.8,14,14,1,7.117,13:36,13,Clear,"14:56 - removal event, tunneling and rolling"
1/14/2022,Time2,8,28,W,SCRUB,CONTROL,6:56,,23.817,0,NA,0,NA,NA,NA,Clear,"9:58, 12:10, 16:37, 17:18 - mouse visitations"
1/14/2022,Time2,8,28,W,SCRUB,FRUIT,6:51,,23.617,0,NA,0,NA,NA,NA,Clear,"7:32, 7:39, 8:27, 8:48 - mouse visitations"
1/15/2022,Time2,1,29,W,BURN,CONTROL,9:34,,22.933,0,NA,1,8.85,18:33,18,Rain,Rainstorm/cold front
1/15/2022,Time2,1,29,W,BURN,FRUIT,NA,,NA,0,NA,0,NA,NA,NA,Rain,Nonfunctional camera
1/15/2022,Time2,1,30,W,SCRUB,CONTROL,9:15,,23.417,0,NA,1,8.633,18:35,18,Rain,Rainstorm/cold front
1/15/2022,Time2,1,30,W,SCRUB,FRUIT,10:10,,22.433,12,12,1,2.117,12:17,12,Rain,13:59 - Mass burial event
1/15/2022,Time2,4,31,W,BURN,CONTROL,8:15,,23.817,0,NA,1,10.25,18:30,18,Rain,Rainstorm/cold front
1/15/2022,Time2,4,31,W,BURN,FRUIT,8:29,,21.917,15,15,1,4.8,13:18,13,Rain,Rainstorm/coldfront; 14:16 - Mass rolling event
1/15/2022,Time2,4,32,W,SCRUB,CONTROL,8:48,,NA,0,NA,0,NA,NA,NA,Rain,Rainstorm/cold front; Camera did not detect removal
1/15/2022,Time2,4,32,W,SCRUB,FRUIT,9:03,,23.167,2,2,1,5.983,15:02,15,Rain,Rainstorm/coldfront
1/15/2022,Time2,8,33,W,BURN,CONTROL,7:48,,23.933,0,NA,1,5.267,13:04,13,Rain,Rainstorm/Cold front
1/15/2022,Time2,8,33,W,BURN,FRUIT,7:27,,24.2,0,NA,1,11.867,18:21,18,Rain,Rainstorm/Cold front
1/15/2022,Time2,8,34,W,SCRUB,CONTROL,7:09,,24.767,0,NA,0,NA,NA,NA,Rain,Rainstorm/cold front; Camera did not detect removal (happened after sundown)
1/15/2022,Time2,8,34,W,SCRUB,FRUIT,7:14,,24.6,0,NA,1,6.967,14:12,14,Rain,Rainstorm/Cold front
3/1/2022,Time3,1,35,W,BURN,CONTROL,7:31,,23.6,2,2,1,6.95,14:29,14,Fair,
3/1/2022,Time3,1,35,W,BURN,FRUIT,7:31,,NA,15,15,1,3.983,11:30,11,Fair,MBE; Amazing Phanaeus footage
3/1/2022,Time3,1,36,W,SCRUB,CONTROL,7:38,,23.467,1,1,1,6.467,14:06,14,Fair,Shallow burial
3/1/2022,Time3,1,36,W,SCRUB,FRUIT,7:39,,23.867,5,5,1,4.15,11:48,11,Fair,
3/1/2022,Time3,7,37,W,BURN,CONTROL,7:01,,23.833,15,15,1,4.133,11:11,11,Fair,
3/1/2022,Time3,7,37,W,BURN,FRUIT,7:05,,23.683,1,1,1,5.983,12:56,12,Fair,
3/1/2022,Time3,7,38,W,SCRUB,CONTROL,7:08,,NA,15,15,1,3.8,10:56,10,Fair,
3/1/2022,Time3,7,38,W,SCRUB,FRUIT,7:13,,23.483,3,3,1,5.683 ,12:54,12,Fair,
3/1/2022,Time3,8,39,W,BURN,FRUIT,6:45,,23.767,1,1,1,5.65,12:24,12,Fair,
3/1/2022,Time3,8,39,W,BURN,CONTROL,NA,,NA,1,1,0,NA,NA,NA,Fair,Camera malfunction
3/1/2022,Time3,8,40,W,SCRUB,FRUIT,6:39,,25.05,0,NA,0,NA,NA,NA,Fair,
3/1/2022,Time3,8,40,W,SCRUB,CONTROL,6:29,,23.75,0,NA,0,NA,NA,NA,Fair,
3/28/2022,Time4,5,41,W,BURN,CONTROL,8:36,,24.117,3,3,0,NA,NA,NA,Fair,bad camera position
3/28/2022,Time4,5,41,W,BURN,FRUIT,8:40,,24.35,13,13,1,1.45,10:07,10,Fair,MBE
3/28/2022,Time4,5,42,W,SCRUB,CONTROL,8:45,,NA,2,2,1,9.667,18:25,18,Fair,
3/28/2022,Time4,5,42,W,SCRUB,FRUIT,NA,,NA,15,15,0,NA,NA,NA,Fair,Camera malfunction
3/28/2022,Time4,6,43,W,BURN,FRUIT,8:20,,24.9,15,15,1,1.92,10:15,10,Fair,
3/28/2022,Time4,6,43,W,BURN,CONTROL,7:31,,23.6,13,13,0,NA,NA,NA,Fair,
3/28/2022,Time4,6,44,W,SCRUB,FRUIT,8:20,,24.9,15,15,1,1.63,9:58,9,Fair,
3/28/2022,Time4,6,44,W,SCRUB,CONTROL,8:28,,24.9,10,10,1,3.77,12:14,12,Fair,
4/28/2022,Time5,8,45,SP,BURN,CONTROL,NA,,NA,0,NA,0,NA,NA,NA,Fair,
4/28/2022,Time5,8,45,SP,BURN,FRUIT,7:30,,24.04,3,3,1,16.17,11:40,11,Fair,
4/28/2022,Time5,8,46,SP,SCRUB,CONTROL,7:21,,23.75,0,NA,0,NA,NA,NA,Fair,
4/28/2022,Time5,8,46,SP,SCRUB,FRUIT,7:17,,23.47,9,9,1,12.97,20:15,20,Fair,ANTIDISPERSAL EVENT
5/22/2022,Time6,3A,47,SP,BURN,CONTROL,8:28,19:42,11.23,2,2,1,2.43,10:54,10,FAIR,
5/22/2022,Time6,3A,47,SP,BURN,FRUIT,8:09,19:40,11.52,2,2,1,2.22,10:22,10,FAIR,
5/22/2022,Time6,3B,48,SP,BURN,FRUIT,9:35,20:16,10.68,6,6,1,4.58,14:10,14,FAIR,
5/22/2022,Time6,3B,48,SP,BURN,CONTROL,9:36,20:18,10.7,1,1,1,7.4,17:00,17,FAIR,
5/22/2022,Time6,4A,49,SP,NA,CONTROL,9:44,20:23,10.53,0,NA,0,NA,NA,NA,FAIR,
5/22/2022,Time6,4A,49,SP,NA,FRUIT,9:47,20:25,10.63,9,9,1,1.55,11:20,11,FAIR,
5/22/2022,Time6,4B,50,SP,NA,CONTROL,10:25,21:01,10.6,1,1,1,1.3,11:43,11,FAIR,
5/22/2022,Time6,4B,50,SP,NA,FRUIT,10:06,18:00,7.9,3,3,1,1.83,11:56,11,FAIR,
5/24/2022,Time6,3A,51,SP,BURN,CONTROL,7:40,19:46,12.1,2,2,1,5.75,13:25,13,RAIN,
5/24/2022,Time6,3A,51,SP,BURN,FRUIT,7:38,19:21,11.72,0,NA,0,NA,NA,NA,RAIN,
5/24/2022,Time6,3B,52,SP,BURN,CONTROL,8:14,20:09,11.92,2,2,1,2.867,11:06,11,RAIN,
5/24/2022,Time6,3B,52,SP,BURN,FRUIT,8:14,20:16,12.03,0,NA,0,NA,NA,NA,RAIN,
5/24/2022,Time6,4A,53,SP,NA,CONTROL,8:31,20:13,11.7,0,NA,0,NA,NA,NA,RAIN,
5/24/2022,Time6,4A,53,SP,NA,FRUIT,8:38,20:18,11.67,9,9,1,3.53,12:10,12,RAIN,
5/24/2022,Time6,4B,54,SP,NA,CONTROL,9:12,20:44,11.53,1,1,1,3.72,12:55,12,RAIN,
5/24/2022,Time6,4B,54,SP,NA,FRUIT,8:59,20:03,11.07,7,7,1,1.55,10:32,10,RAIN,
5/25/2022,Time6,3A,55,SP,BURN,CONTROL,7:31,19:16,11.75,1,1,1,0.57,8:05,8,FAIR,
5/25/2022,Time6,3A,55,SP,BURN,FRUIT,7:33,19:18,11.75,6,6,1,5.03,12:35,12,FAIR,
5/25/2022,Time6,3B,56,SP,BURN,CONTROL,NA,NA,NA,0,NA,0,NA,NA,NA,FAIR,
5/25/2022,Time6,3B,56,SP,BURN,FRUIT,8:18,19:50,11.53,5,5,1,6.97,15:16,15,FAIR,
5/25/2022,Time6,4A,57,SP,NA,CONTROL,8:26,19:56,11.5,1,1,1,8,16:26,16,FAIR,
5/25/2022,Time6,4A,57,SP,NA,FRUIT,8:23,19:58,11.58,0,0,0,NA,NA,NA,FAIR,
5/25/2022,Time6,4B,58,SP,NA,CONTROL,9:03,20:28,11.42,1,1,1,4.77,13:49,13,FAIR,
5/25/2022,Time6,4B,58,SP,NA,FRUIT,8:43,20:12,11.483,5,5,1,2.9,11:37,11,FAIR,
5/27/2022,Time6,3A,59,SP,BURN,CONTROL,7:17,19:12,11.92,0,0,0,NA,NA,NA,FAIR,
5/27/2022,Time6,3A,59,SP,BURN,FRUIT,7:17,19:13,11.93,7,7,1,NA,NA,NA,FAIR,
5/27/2022,Time6,3B,60,SP,BURN,CONTROL,7:43,19:40,11.95,2,2,1,NA,NA,NA,FAIR,
5/27/2022,Time6,3B,60,SP,BURN,FRUIT,NA,NA,NA,7,7,1,NA,NA,NA,FAIR,
5/27/2022,Time6,4A,61,SP,NA,CONTROL,NA,NA,NA,10,10,1,NA,NA,NA,FAIR,
5/27/2022,Time6,4A,61,SP,NA,FRUIT,NA,NA,NA,1,1,1,NA,NA,NA,FAIR,
5/27/2022,Time6,4B,62,SP,NA,CONTROL,NA,NA,NA,1,1,1,NA,NA,NA,FAIR,
5/27/2022,Time6,4B,62,SP,NA,FRUIT,8:13,20:09,11.93,0,NA,0,NA,NA,NA,FAIR,
6/12/2022,Time7,AN-N,63,SP,SCRUB,CONTROL,9:44,19:15,9.51,15,15,1,2.2,11:56,11,FAIR,
6/12/2022,Time7,AN-N,63,SP,SCRUB,FRUIT,9:24,19:03,9.65,15,15,1,3.98,10:38,10,FAIR,
6/12/2022,Time7,AN-S,64,SP,SCRUB,CONTROL,9:03,18:43,9.67,3,3,1,2.58,11:38,11,FAIR,
6/12/2022,Time7,AN-S,64,SP,SCRUB,FRUIT,8:58,18:42,9.73,3,3,1,2.4,11:22,11,FAIR,
6/12/2022,Time7,SC-N,65,SP,SCRUB,CONTROL,7:49,18:16,10.45,0,NA,0,NA,NA,NA,FAIR,
6/12/2022,Time7,SC-N,65,SP,SCRUB,FRUIT,7:50,20:04,12.23,15,15,1,0.75,8:35,8,FAIR,
6/12/2022,Time7,SC-S,66,SP,SCRUB,CONTROL,8:21,19:36,11.25,5,5,1,5.73,19:36,19,FAIR,
6/12/2022,Time7,SC-S,66,SP,SCRUB,FRUIT,7:44,18:48,11.07,0,NA,0,NA,NA,NA,FAIR,
6/13/2022,Time7,AN-N,67,SP,SCRUB,CONTROL,8:48,19:03,10.25,15,15,1,3.4,12:12,12,FAIR,
6/13/2022,Time7,AN-N,67,SP,SCRUB,FRUIT,8:54,18:58,10.07,15,15,1,2.53,11:26,11,FAIR,
6/13/2022,Time7,AN-S,68,SP,SCRUB,CONTROL,8:27,18:43,10.22,0,NA,0,NA,NA,NA,FAIR,
6/13/2022,Time7,AN-S,68,SP,SCRUB,FRUIT,8:07,18:34,10.45,2,2,1,5.38,13:30,13,FAIR,
6/13/2022,Time7,SC-N,69,SP,SCRUB,CONTROL,10:02,19:47,9.75,15,15,1,0.32,10:21,10,FAIR,
6/13/2022,Time7,SC-N,69,SP,SCRUB,FRUIT,10:02,19:54,9.86,3,3,1,2.35,12:23,12,FAIR,
6/13/2022,Time7,SC-S,70,SP,SCRUB,CONTROL,9:26,17:03,7.62,6,6,1,0.28,9:43,9,FAIR,
6/13/2022,Time7,SC-S,70,SP,SCRUB,FRUIT,8:44,18:34,9.83,4,4,1,4.2,12:56,12,FAIR,
6/14/2022,Time7,AN-N,71,SP,SCRUB,CONTROL,8:17,18:18,10.01,8,8,1,2,10:17,10,FAIR,
6/14/2022,Time7,AN-N,71,SP,SCRUB,FRUIT,8:17,19:25,11.13,13,13,1,2.58,10:52,10,FAIR,
6/14/2022,Time7,AN-S,72,SP,SCRUB,CONTROL,8:13,19:29,11.27,7,7,1,3.13,11:12,11,FAIR,
6/14/2022,Time7,AN-S,72,SP,SCRUB,FRUIT,8:00,19:15,11.25,13,13,1,8.2,16:12,16,FAIR,
6/14/2022,Time7,SC-N,73,SP,SCRUB,CONTROL,7:17,18:51,11.57,15,15,1,2.37,9:39,9,FAIR,
6/14/2022,Time7,SC-N,73,SP,SCRUB,FRUIT,7:24,18:56,NA,0,NA,0,NA,NA,NA,FAIR,
6/14/2022,Time7,SC-S,74,SP,SCRUB,CONTROL,7:44,19:05,11.35,8,8,1,2.82,10:33,10,FAIR,
6/14/2022,Time7,SC-S,74,SP,SCRUB,FRUIT,6:57,18:20,11.38,2,2,1,3.13,10:05,10,FAIR,
